DDATETIME,AVGT,AVGP,MAXP,MINP,MINT,MAXT,MAXU,MINU,AVGU,WNDSPD
20150101000000,165,10166,10195,10128,127,204,68,24,38,21
20150102000000,148,10172,10191,10148,117,203,83,28,54,19
20150103000000,155,10147,10176,10118,118,216,79,23,57,17
20150104000000,172,10094,10124,10071,134,232,83,48,72,20
20150105000000,199,10065,10085,10050,181,229,84,67,78,21
20150106000000,207,10072,10088,10055,182,269,86,53,77,13
20150107000000,183,10118,10152,10074,161,203,93,52,72,20
20150108000000,147,10175,10199,10152,116,183,60,40,53,29
20150109000000,150,10173,10195,10150,118,200,59,30,49,17
20150110000000,159,10155,10181,10136,126,212,75,33,53,20
20150111000000,159,10149,10176,10121,123,195,81,41,60,18
20150112000000,127,10145,10156,10129,111,165,93,50,82,32
20150113000000,119,10134,10162,10120,108,134,95,76,88,32
20150114000000,128,10148,10166,10128,86,174,89,44,67,22
20150115000000,132,10153,10179,10130,90,194,70,38,56,25
20150116000000,163,10149,10170,10122,125,219,83,36,60,14
20150117000000,160,10162,10185,10147,137,203,67,33,51,25
20150118000000,154,10161,10195,10134,125,199,85,31,63,21
20150119000000,156,10148,10172,10124,123,207,58,24,39,26
20150120000000,158,10133,10153,10108,126,214,79,31,59,15
20150121000000,172,10132,10154,10110,128,228,87,29,62,10
20150122000000,177,10137,10162,10120,151,231,65,21,37,19
20150123000000,164,10127,10147,10105,129,219,65,28,49,18
20150124000000,173,10112,10132,10098,149,213,82,48,74,25
20150125000000,194,10107,10127,10092,168,243,85,59,76,17
20150126000000,192,10108,10128,10086,165,248,86,55,76,26
20150127000000,188,10101,10124,10077,172,223,87,58,76,23
20150128000000,166,10108,10126,10091,155,194,82,59,74,28
20150129000000,176,10116,10135,10101,141,231,81,47,71,20
20150130000000,163,10140,10167,10114,139,208,86,48,67,21
20150131000000,144,10179,10207,10156,126,169,78,57,66,23
20150201000000,145,10187,10214,10167,127,176,73,53,66,22
20150202000000,162,10177,10196,10151,134,215,83,45,69,15
20150203000000,176,10169,10189,10147,149,225,84,53,74,15
20150204000000,159,10159,10179,10136,142,191,90,55,71,20
20150205000000,126,10178,10197,10156,111,156,70,45,55,33
20150206000000,123,10169,10193,10145,101,155,65,50,58,22
20150207000000,156,10140,10159,10117,135,203,77,51,65,23
20150208000000,153,10156,10179,10139,130,189,63,23,38,28
20150209000000,142,10172,10197,10151,115,189,76,31,60,20
20150210000000,143,10144,10176,10109,114,189,79,40,64,20
20150211000000,153,10111,10128,10093,128,193,78,51,65,10
20150212000000,168,10108,10127,10089,125,228,74,17,54,14
20150213000000,177,10104,10126,10090,136,237,58,19,34,19
20150214000000,188,10092,10115,10068,162,235,68,23,48,20
20150215000000,191,10085,10104,10070,180,197,91,68,83,12
20150216000000,195,10091,10113,10073,172,228,95,69,88,9
20150217000000,191,10087,10108,10069,169,237,93,58,80,15
20150218000000,183,10110,10130,10090,165,216,84,55,71,24
20150219000000,177,10120,10145,10108,171,212,74,53,68,30
20150220000000,187,10105,10126,10080,161,231,84,61,77,25
20150221000000,210,10076,10094,10059,182,254,89,65,82,17
20150222000000,212,10080,10104,10057,192,256,92,65,84,15
20150223000000,197,10075,10099,10050,186,231,94,74,88,22
20150224000000,207,10067,10087,10043,189,250,92,67,84,24
20150225000000,207,10061,10083,10044,195,229,94,77,88,21
20150226000000,227,10062,10087,10045,198,284,92,53,80,17
20150227000000,198,10076,10103,10058,187,225,90,78,85,25
20150228000000,198,10091,10113,10071,183,232,88,65,80,31
20150301000000,186,10120,10153,10092,154,209,88,49,65,19
20150302000000,174,10090,10133,10051,166,194,82,53,72,22
20150303000000,201,10047,10068,10021,167,249,90,69,82,20
20150304000000,164,10073,10098,10034,145,222,93,80,87,23
20150305000000,170,10081,10106,10066,159,188,91,78,86,36
20150306000000,171,10093,10112,10077,163,183,92,83,90,22
20150307000000,167,10101,10127,10085,146,186,90,78,86,20
20150308000000,192,10100,10120,10083,171,220,88,67,81,22
20150309000000,216,10108,10121,10092,178,264,92,58,78,11
20150310000000,181,10142,10159,10116,166,226,82,43,68,25
20150311000000,160,10141,10162,10121,152,176,82,69,77,22
20150312000000,144,10132,10157,10109,132,158,93,81,88,21
20150313000000,174,10111,10131,10092,146,202,90,66,76,23
